Q: Pouczenie* – Ostrzeżenie.|Q: Instruction* – Warning.
A: Uczyłam się wykonywać bukiety, kompozycje kwiatowe i obsługiwać klienta.|A: I learned to make bouquets, floral arrangements, and serve customers.
|
Q: Pod jakim adresem odbywały się zajęcia praktyczne?|Q: At what address were the practical classes held?
A: Zajęcia praktyczne odbywały się przy ulicy Rzeźniczej 4 w Krakowie.|A: Practical classes were held at 4 Rzeźnicza Street in Kraków.
|
Q: W jakie dni i godziny odbywały się zajęcia?|Q: On which days and at what times were classes held?
A: Zajęcia odbywały się w weekendy, w soboty i niedziele, co drugi weekend, po osiem godzin.|A: Classes took place on weekends, on Saturdays and Sundays, every other weekend, for eight hours.
|
Q: W jakim języku były prowadzone zajęcia?|Q: In what language were the classes conducted?
A: Zajęcia były prowadzone tylko po polsku. Tylko w pierwszym semestrze, na przedmiocie język angielski, nauczyciel mówił po angielsku.|A: Classes were conducted only in Polish. Only in the first semester, in the English class, the teacher spoke English.
|
Q: Czy rozumiała Pani polecenia nauczyciela?|Q: Did you understand the teacher’s instructions?
A: Tak, dobrze rozumiałam polecenia nauczyciela.|A: Yes, I understood the teacher’s instructions well.
|
Q: Jakiej narodowości były inne osoby uczestniczące w kursie?|Q: What nationalities were the other participants in the course?
A: Na kursie były osoby z Polski, Iranu, Iraku, Ukrainy, Indii, Hiszpanii i Turcji.|A: There were people from Poland, Iran, Iraq, Ukraine, India, Spain, and Turkey in the course.
|
Q: Ile osób uczęszczało na zajęcia?|Q: How many people attended classes?
A: Oficjalnie w mojej grupie było sto dwadzieścia osób, ale regularnie chodziło około dwudziestu do trzydziestu osób.|A: Officially there were 120 people in my group, but around 20 to 30 attended regularly.
|
Q: Skąd dowiedziała się Pani o tej szkole?|Q: How did you learn about this school?
A: Dowiedziałam się o szkole w internecie, na Facebooku.|A: I learned about the school on the internet, on Facebook.
|
Q: Jak wykorzystuje Pani umiejętności zdobyte na kursie w życiu lub pracy?|Q: How do you use the skills gained from the course in your life or work?
A: W marcu zrobiłam bukiet na urodziny męża i był bardzo szczęśliwy. W pracy te umiejętności pomagają mi być dokładną i lepiej organizować pracę.|A: In March I made a bouquet for my husband’s birthday and he was very happy. At work, these skills help me be precise and organize my work better.
|
Q: Jak ocenia Pani swoje umiejętności języka polskiego?|Q: How do you assess your Polish language skills?
A: Dobrze oceniam swoje umiejętności. Dużo rozumiem.|A: I assess my skills as good. I understand a lot.
|
Q: Jak długo trwał kurs?|Q: How long did the course last?
A: Kurs trwał jeden rok, dwa semestry.|A: The course lasted one year, two semesters.
|
Q: Czy uczyła się Pani polskiego przed kursem?|Q: Did you study Polish before the course?
A: Tak, uczyłam się polskiego samodzielnie przed kursem.|A: Yes, I studied Polish on my own before the course.
|
Q: Jakie miała Pani przedmioty?|Q: What subjects did you have?
A: Miałam między innymi: język angielski, podstawy florystyki, kulturowe podstawy florystyki, wykonywanie kompozycji ślubnych i funeralnych.|A: I had, among others: English language, basics of floristry, cultural foundations of floristry, wedding compositions, and funeral compositions.
|
Q: Czy Pani to rozumie?|Q: Do you understand this?
A: Tak, rozumiem. Muszę mówić prawdę i mogę odmówić odpowiedzi.|A: Yes, I understand. I must tell the truth and I can refuse to answer.
|
Q: Proszę powtórzyć pytanie.|Q: Please repeat the question.
A: Proszę powtórzyć pytanie.|A: Please repeat the question.
|
Q: Chwilę proszę.|Q: One moment, please.
A: Chwilę proszę.|A: One moment, please.
